"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Other tuberculosis (A17-A19)"	"GR113-006"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Whooping cough (A37)"	"GR113-007"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Meningococcal infection (A39)"	"GR113-009"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2018"	"2018"	53	1901862	27.867426764
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2019"	"2019"	39	1881774	20.725124271
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2020"	"2020"	32	1806934	17.709556630
	"< 1 year"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	"2021 (provisional)"	"2021"	37	1806934	20.476674854
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Syphilis (A50-A53)"	"GR113-011"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Acute poliomyelitis (A80)"	"GR113-012"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Measles (B05)"	"GR113-014"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Malaria (B50-B54)"	"GR113-017"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2018"	"2018"	85	1901862	44.693042923
	"< 1 year"	"1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2019"	"2019"	64	1881774	34.010460342
	"< 1 year"	"1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2020"	"2020"	50	1806934	27.671182235
	"< 1 year"	"1"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2021 (provisional)"	"2021"	93	1806934	51.468398957
	"< 1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2018"	"2018"	23	1901862	12.093411615
	"< 1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2019"	"2019"	35	1881774	18.599470500
	"< 1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2020"	"2020"	26	1806934	14.389014762
	"< 1 year"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2021 (provisional)"	"2021"	24	1806934	13.282167473
	"< 1 year"	"1"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant melanoma of skin (C43)"	"GR113-028"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant melanoma of skin (C43)"	"GR113-028"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant melanoma of skin (C43)"	"GR113-028"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant melanoma of skin (C43)"	"GR113-028"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of breast (C50)"	"GR113-029"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"2019"	"2019"	11	1881774	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Hodgkin disease (C81)"	"GR113-038"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Hodgkin disease (C81)"	"GR113-038"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Hodgkin disease (C81)"	"GR113-038"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Hodgkin disease (C81)"	"GR113-038"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Leukemia (C91-C95)"	"GR113-040"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"2019"	"2019"	13	1881774	Unreliable
	"< 1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"2021 (provisional)"	"2021"	12	1806934	Unreliable
	"< 1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2018"	"2018"	18	1901862	Unreliable
	"< 1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2019"	"2019"	25	1881774	13.285336071
	"< 1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2020"	"2020"	22	1806934	12.175320183
	"< 1 year"	"1"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2021 (provisional)"	"2021"	14	1806934	Unreliable
	"< 1 year"	"1"	"#Anemias (D50-D64)"	"GR113-045"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Anemias (D50-D64)"	"GR113-045"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Anemias (D50-D64)"	"GR113-045"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Anemias (D50-D64)"	"GR113-045"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2018"	"2018"	Suppressed	1901862	Suppressed
	"< 1 year"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2019"	"2019"	Suppressed	1881774	Suppressed
	"< 1 year"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2020"	"2020"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"2021 (provisional)"	"2021"	Suppressed	1806934	Suppressed
	"< 1 year"	"1"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	"2018"	"2018"	Suppressed	1901862	Suppressed
